proto,src_ip,src_pt,dst_ip,dst_pt,ce,hae,lat,le,lon
tcp,10.60.11.11,59564,239.2.3.1,6969,"0.5","181.330276","32.8768724","0.5","-114.206172"
tcp,10.60.11.11,56922,239.2.3.1,6969,"0.5","183.479141","32.8799469","0.5","-114.203989"
tcp,10.60.11.11,48048,239.2.3.1,6969,"0.5","181.346313","32.8783176","0.5","-114.206736"
tcp,10.60.11.11,41633,239.2.3.1,6969,"0.5","182.026917","32.8806521","0.5","-114.21049"
tcp,10.60.11.11,59564,239.2.3.1,6969,"0.5","181.269135","32.8768877","0.5","-114.206173"
tcp,10.60.11.11,41633,239.2.3.1,6969,"0.5","182.041","32.8806643","0.5","-114.210475"
tcp,10.60.11.11,56922,239.2.3.1,6969,"0.5","183.582535","32.8799274","0.5","-114.203976"
tcp,10.60.11.11,48048,239.2.3.1,6969,"0.5","181.386703","32.8783318","0.5","-114.206722"
tcp,10.60.11.11,59564,239.2.3.1,6969,"0.5","181.18782","32.8769036","0.5","-114.206172"
tcp,10.60.11.11,41633,239.2.3.1,6969,"0.5","182.058441","32.8806759","0.5","-114.210461"
tcp,10.60.11.11,48048,239.2.3.1,6969,"0.5","181.417953","32.8783455","0.5","-114.20671"
tcp,10.60.11.11,56922,239.2.3.1,6969,"0.5","183.634949","32.879906","0.5","-114.203962"
tcp,10.60.11.11,59564,239.2.3.1,6969,"0.5","181.130493","32.876919","0.5","-114.20617"
tcp,10.60.11.11,41633,239.2.3.1,6969,"0.5","182.074417","32.8806878","0.5","-114.210447"
tcp,10.60.11.11,56922,239.2.3.1,6969,"0.5","183.635162","32.8798902","0.5","-114.20395"
tcp,10.60.11.11,48048,239.2.3.1,6969,"0.5","181.435028","32.8783599","0.5","-114.206696"
tcp,10.60.11.11,59564,239.2.3.1,6969,"0.5","181.075516","32.8769348","0.5","-114.206166"
tcp,10.60.11.11,41633,239.2.3.1,6969,"0.5","182.083755","32.8807","0.5","-114.210435"
tcp,10.60.11.11,48048,239.2.3.1,6969,"0.5","181.455139","32.8783738","0.5","-114.206683"
tcp,10.60.11.11,56922,239.2.3.1,6969,"0.5","183.651306","32.8798769","0.5","-114.203938"
tcp,10.60.11.11,59564,239.2.3.1,6969,"0.5","181.018646","32.8769507","0.5","-114.206161"
tcp,10.60.11.11,41633,239.2.3.1,6969,"0.5","182.095428","32.8807129","0.5","-114.210423"
tcp,10.60.11.11,48048,239.2.3.1,6969,"0.5","181.500778","32.8783892","0.5","-114.206671"
tcp,10.60.11.11,56922,239.2.3.1,6969,"0.5","183.668655","32.879864","0.5","-114.203926"
tcp,10.60.11.11,41633,239.2.3.1,6969,"0.5","182.108688","32.8807268","0.5","-114.210413"
tcp,10.60.11.11,59564,239.2.3.1,6969,"0.5","180.967041","32.8769664","0.5","-114.206154"
tcp,10.60.11.11,48048,239.2.3.1,6969,"0.5","181.504456","32.8784041","0.5","-114.206659"
tcp,10.60.11.11,56922,239.2.3.1,6969,"0.5","183.662979","32.8798486","0.5","-114.203911"
tcp,10.60.11.11,41633,239.2.3.1,6969,"0.5","182.111954","32.8807409","0.5","-114.210406"
tcp,10.60.11.11,59564,239.2.3.1,6969,"0.5","180.931717","32.8769818","0.5","-114.206147"
tcp,10.60.11.11,56922,239.2.3.1,6969,"0.5","183.717407","32.8798343","0.5","-114.203896"
tcp,10.60.11.11,48048,239.2.3.1,6969,"0.5","181.527664","32.8784194","0.5","-114.206647"
tcp,10.60.11.11,41633,239.2.3.1,6969,"0.5","182.122559","32.8807562","0.5","-114.2104"
tcp,10.60.11.11,56922,239.2.3.1,6969,"0.5","183.61554","32.8798206","0.5","-114.203879"
tcp,10.60.11.11,59564,239.2.3.1,6969,"0.5","180.91394","32.8769968","0.5","-114.206138"
tcp,10.60.11.11,48048,239.2.3.1,6969,"0.5","181.557281","32.8784347","0.5","-114.206636"
tcp,10.60.11.11,41633,239.2.3.1,6969,"0.5","182.143707","32.8807727","0.5","-114.210397"
tcp,10.60.11.11,56922,239.2.3.1,6969,"0.5","183.538589","32.8798086","0.5","-114.203863"
tcp,10.60.11.11,59564,239.2.3.1,6969,"0.5","180.887161","32.8770124","0.5","-114.206128"
tcp,10.60.11.11,48048,239.2.3.1,6969,"0.5","181.577515","32.8784497","0.5","-114.206625"
tcp,10.60.11.11,41633,239.2.3.1,6969,"0.5","182.163239","32.8807892","0.5","-114.210396"
tcp,10.60.11.11,56922,239.2.3.1,6969,"0.5","183.605515","32.8798","0.5","-114.203851"
tcp,10.60.11.11,59564,239.2.3.1,6969,"0.5","180.860443","32.877028","0.5","-114.206118"
tcp,10.60.11.11,48048,239.2.3.1,6969,"0.5","181.578918","32.8784655","0.5","-114.206614"
tcp,10.60.11.11,41633,239.2.3.1,6969,"0.5","182.168381","32.8808058","0.5","-114.210397"
tcp,10.60.11.11,56922,239.2.3.1,6969,"0.5","183.588379","32.8797938","0.5","-114.20384"
tcp,10.60.11.11,59564,239.2.3.1,6969,"0.5","180.851562","32.8770437","0.5","-114.206106"
tcp,10.60.11.11,48048,239.2.3.1,6969,"0.5","181.577118","32.8784814","0.5","-114.206605"
tcp,10.60.11.11,41633,239.2.3.1,6969,"0.5","182.163147","32.8808233","0.5","-114.210401"
tcp,10.60.11.11,56922,239.2.3.1,6969,"0.5","183.76181","32.8797812","0.5","-114.203826"
tcp,10.60.11.11,59564,239.2.3.1,6969,"0.5","180.828201","32.8770592","0.5","-114.206095"
tcp,10.60.11.11,48048,239.2.3.1,6969,"0.5","181.596207","32.8784971","0.5","-114.206595"
tcp,10.60.11.11,56922,239.2.3.1,6969,"0.5","183.813095","32.8797665","0.5","-114.203807"
tcp,10.60.11.11,41633,239.2.3.1,6969,"0.5","182.145798","32.8808415","0.5","-114.210408"
tcp,10.60.11.11,59564,239.2.3.1,6969,"0.5","180.810257","32.8770748","0.5","-114.206083"
tcp,10.60.11.11,48048,239.2.3.1,6969,"0.5","181.612778","32.8785134","0.5","-114.206586"
tcp,10.60.11.11,41633,239.2.3.1,6969,"0.5","182.106644","32.8808574","0.5","-114.210416"
tcp,10.60.11.11,59564,239.2.3.1,6969,"0.5","180.781128","32.8770908","0.5","-114.20607"
tcp,10.60.11.11,56922,239.2.3.1,6969,"0.5","183.862549","32.8797502","0.5","-114.203786"
tcp,10.60.11.11,48048,239.2.3.1,6969,"0.5","181.641296","32.87853","0.5","-114.206577"
tcp,10.60.11.11,56922,239.2.3.1,6969,"0.5","183.859482","32.8797376","0.5","-114.203769"
tcp,10.60.11.11,41633,239.2.3.1,6969,"0.5","182.08252","32.8808725","0.5","-114.210426"
tcp,10.60.11.11,59564,239.2.3.1,6969,"0.5","180.776001","32.8771062","0.5","-114.206058"
tcp,10.60.11.11,48048,239.2.3.1,6969,"0.5","181.663818","32.8785464","0.5","-114.206567"
tcp,10.60.11.11,41633,239.2.3.1,6969,"0.5","182.08934","32.8808854","0.5","-114.210436"
tcp,10.60.11.11,56922,239.2.3.1,6969,"0.5","183.845337","32.8797267","0.5","-114.203753"
tcp,10.60.11.11,59564,239.2.3.1,6969,"0.5","180.763138","32.8771214","0.5","-114.206047"
tcp,10.60.11.11,48048,239.2.3.1,6969,"0.5","181.67041","32.8785628","0.5","-114.206558"
tcp,10.60.11.11,41633,239.2.3.1,6969,"0.5","182.106354","32.8808976","0.5","-114.210449"
tcp,10.60.11.11,56922,239.2.3.1,6969,"0.5","183.836899","32.8797156","0.5","-114.203736"
tcp,10.60.11.11,59564,239.2.3.1,6969,"0.5","180.748917","32.8771372","0.5","-114.206034"
tcp,10.60.11.11,48048,239.2.3.1,6969,"0.5","181.694931","32.878579","0.5","-114.206549"
tcp,10.60.11.11,41633,239.2.3.1,6969,"0.5","182.135757","32.8809083","0.5","-114.210463"
tcp,10.60.11.11,56922,239.2.3.1,6969,"0.5","183.833359","32.8797046","0.5","-114.203718"
tcp,10.60.11.11,48048,239.2.3.1,6969,"0.5","181.702911","32.8785956","0.5","-114.206539"
tcp,10.60.11.11,59564,239.2.3.1,6969,"0.5","180.719147","32.8771526","0.5","-114.206022"
tcp,10.60.11.11,41633,239.2.3.1,6969,"0.5","182.165619","32.8809181","0.5","-114.210479"
tcp,10.60.11.11,56922,239.2.3.1,6969,"0.5","183.832352","32.8796947","0.5","-114.203702"
tcp,10.60.11.11,48048,239.2.3.1,6969,"0.5","181.703339","32.8786106","0.5","-114.20653"
tcp,10.60.11.11,59564,239.2.3.1,6969,"0.5","180.696442","32.8771677","0.5","-114.20601"
tcp,10.60.11.11,41633,239.2.3.1,6969,"0.5","182.176758","32.8809266","0.5","-114.210499"
tcp,10.60.11.11,56922,239.2.3.1,6969,"0.5","183.837616","32.8796857","0.5","-114.203685"
tcp,10.60.11.11,59564,239.2.3.1,6969,"0.5","180.695831","32.8771829","0.5","-114.205999"
tcp,10.60.11.11,48048,239.2.3.1,6969,"0.5","181.710663","32.8786268","0.5","-114.206519"
tcp,10.60.11.11,41633,239.2.3.1,6969,"0.5","182.151947","32.8809333","0.5","-114.210519"
tcp,10.60.11.11,56922,239.2.3.1,6969,"0.5","183.863724","32.8796763","0.5","-114.203667"
tcp,10.60.11.11,59564,239.2.3.1,6969,"0.5","180.700684","32.8771984","0.5","-114.205987"
tcp,10.60.11.11,48048,239.2.3.1,6969,"0.5","181.715683","32.8786424","0.5","-114.206509"
tcp,10.60.11.11,41633,239.2.3.1,6969,"0.5","182.14006","32.8809385","0.5","-114.210539"
tcp,10.60.11.11,56922,239.2.3.1,6969,"0.5","183.932892","32.8796669","0.5","-114.203649"
tcp,10.60.11.11,59564,239.2.3.1,6969,"0.5","180.700027","32.8772126","0.5","-114.205975"
tcp,10.60.11.11,48048,239.2.3.1,6969,"0.5","181.714706","32.8786583","0.5","-114.206498"
tcp,10.60.11.11,56922,239.2.3.1,6969,"0.5","183.962799","32.8796584","0.5","-114.20363"
tcp,10.60.11.11,41633,239.2.3.1,6969,"0.5","182.151031","32.8809426","0.5","-114.21056"
tcp,10.60.11.11,59564,239.2.3.1,6969,"0.5","180.69902","32.8772276","0.5","-114.205964"
tcp,10.60.11.11,48048,239.2.3.1,6969,"0.5","181.706238","32.8786733","0.5","-114.206487"
tcp,10.60.11.11,56922,239.2.3.1,6969,"0.5","183.973816","32.879649","0.5","-114.20361"
tcp,10.60.11.11,41633,239.2.3.1,6969,"0.5","182.181335","32.8809456","0.5","-114.210581"
tcp,10.60.11.11,59564,239.2.3.1,6969,"0.5","180.660461","32.8772433","0.5","-114.205953"
tcp,10.60.11.11,48048,239.2.3.1,6969,"0.5","181.705734","32.8786879","0.5","-114.206476"
tcp,10.60.11.11,41633,239.2.3.1,6969,"0.5","182.206772","32.8809482","0.5","-114.210604"
tcp,10.60.11.11,56922,239.2.3.1,6969,"0.5","183.99057","32.8796401","0.5","-114.203591"
tcp,10.60.11.11,59564,239.2.3.1,6969,"0.5","180.653763","32.8772586","0.5","-114.205943"
tcp,10.60.11.11,48048,239.2.3.1,6969,"0.5","181.728912","32.8787023","0.5","-114.206464"
tcp,10.60.11.11,56922,239.2.3.1,6969,"0.5","184.021652","32.8796321","0.5","-114.203574"
tcp,10.60.11.11,41633,239.2.3.1,6969,"0.5","182.214386","32.8809498","0.5","-114.210626"
tcp,10.60.11.11,59564,239.2.3.1,6969,"0.5","180.654984","32.8772734","0.5","-114.205934"
tcp,10.60.11.11,48048,239.2.3.1,6969,"0.5","181.75206","32.8787173","0.5","-114.206452"
tcp,10.60.11.11,56922,239.2.3.1,6969,"0.5","184.045242","32.8796248","0.5","-114.203555"
tcp,10.60.11.11,41633,239.2.3.1,6969,"0.5","182.209534","32.8809509","0.5","-114.210649"
tcp,10.60.11.11,59564,239.2.3.1,6969,"0.5","180.663101","32.877289","0.5","-114.205925"
tcp,10.60.11.11,48048,239.2.3.1,6969,"0.5","181.778671","32.8787317","0.5","-114.206438"
tcp,10.60.11.11,41633,239.2.3.1,6969,"0.5","182.197998","32.8809514","0.5","-114.210671"
tcp,10.60.11.11,56922,239.2.3.1,6969,"0.5","184.068298","32.8796167","0.5","-114.203534"
tcp,10.60.11.11,59564,239.2.3.1,6969,"0.5","180.677078","32.8773048","0.5","-114.205917"
tcp,10.60.11.11,48048,239.2.3.1,6969,"0.5","181.800705","32.8787457","0.5","-114.206424"
tcp,10.60.11.11,41633,239.2.3.1,6969,"0.5","182.201523","32.8809513","0.5","-114.210692"
tcp,10.60.11.11,56922,239.2.3.1,6969,"0.5","184.086227","32.8796092","0.5","-114.203513"
tcp,10.60.11.11,59564,239.2.3.1,6969,"0.5","180.701965","32.8773207","0.5","-114.205909"
tcp,10.60.11.11,48048,239.2.3.1,6969,"0.5","181.83075","32.8787592","0.5","-114.206411"
tcp,10.60.11.11,41633,239.2.3.1,6969,"0.5","182.207397","32.8809506","0.5","-114.210715"
tcp,10.60.11.11,56922,239.2.3.1,6969,"0.5","184.067688","32.8796029","0.5","-114.203493"
tcp,10.60.11.11,59564,239.2.3.1,6969,"0.5","180.715958","32.8773368","0.5","-114.205902"
tcp,10.60.11.11,48048,239.2.3.1,6969,"0.5","181.849396","32.8787729","0.5","-114.206396"
tcp,10.60.11.11,41633,239.2.3.1,6969,"0.5","182.201996","32.8809488","0.5","-114.210737"
tcp,10.60.11.11,56922,239.2.3.1,6969,"0.5","183.994919","32.8795968","0.5","-114.203473"
tcp,10.60.11.11,59564,239.2.3.1,6969,"0.5","180.724899","32.8773529","0.5","-114.205896"
tcp,10.60.11.11,48048,239.2.3.1,6969,"0.5","181.882004","32.8787859","0.5","-114.206382"
tcp,10.60.11.11,41633,239.2.3.1,6969,"0.5","182.184479","32.8809465","0.5","-114.210759"
tcp,10.60.11.11,56922,239.2.3.1,6969,"0.5","184.007385","32.8795911","0.5","-114.203452"
tcp,10.60.11.11,59564,239.2.3.1,6969,"0.5","180.729065","32.8773702","0.5","-114.20589"
tcp,10.60.11.11,48048,239.2.3.1,6969,"0.5","181.901825","32.8787989","0.5","-114.206367"
tcp,10.60.11.11,56922,239.2.3.1,6969,"0.5","183.938828","32.879585","0.5","-114.20343"
tcp,10.60.11.11,41633,239.2.3.1,6969,"0.5","182.15773","32.8809432","0.5","-114.210781"
tcp,10.60.11.11,59564,239.2.3.1,6969,"0.5","180.755707","32.8773871","0.5","-114.205885"
tcp,10.60.11.11,48048,239.2.3.1,6969,"0.5","181.928101","32.8788118","0.5","-114.206353"
tcp,10.60.11.11,56922,239.2.3.1,6969,"0.5","183.686707","32.8795804","0.5","-114.203406"
tcp,10.60.11.11,41633,239.2.3.1,6969,"0.5","182.130402","32.880939","0.5","-114.210803"
tcp,10.60.11.11,59564,239.2.3.1,6969,"0.5","180.780106","32.8774046","0.5","-114.20588"
tcp,10.60.11.11,48048,239.2.3.1,6969,"0.5","181.959976","32.8788243","0.5","-114.206338"
tcp,10.60.11.11,56922,239.2.3.1,6969,"0.5","183.60141","32.8795775","0.5","-114.203388"
tcp,10.60.11.11,41633,239.2.3.1,6969,"0.5","182.098709","32.8809342","0.5","-114.210824"
tcp,10.60.11.11,59564,239.2.3.1,6969,"0.5","180.792709","32.8774227","0.5","-114.205875"
tcp,10.60.11.11,48048,239.2.3.1,6969,"0.5","181.985474","32.8788373","0.5","-114.206323"
