Protocol,SourceIP,SourcePort,DestinationIP,DestinationPort,EventCallSign,How,Opex,QOS,Stale,Start,Time,EventType,UUID,Version,ce,hae,Lat,le,Lon,CallSign,Endpoint,ExtendedCot,Course,Slope,Speed,GimbalPitch,GimbalRoll,GimbalYaw,HomeLat,HomeLon,Azimuth,Elevation,FOV,Model,North,Range,Roll,SensorType,BatteryMaxCapacity,BatteryRemainingCapacity,FlightTime,VehicleType,TypeTag,Voltage,GPS,RSSI,URL,ImageParentCallSign,ImageRelation,ImageLinkUID,ImageHeight,ImageWidth,ImageSize,ImageMime,ImageType,ImageURL,ImageFile
UDP,10.60.11.11,57346,239.2.3.1,6969,MCAS-2-AI2C,m-f,s,7-r-c,2022-05-04T00:38:48Z,2022-05-03T14:38:48Z,2022-05-03T14:38:48Z,a-f-G-E-V,grizA,2.0,0.5,183.482254,32.879947,0.5,-114.203989,MCAS-2-AI2C,192.168.42.158:4242:tcp,true,0,0,10,60,0,0,0,0,0,60,100,mcas,180,0,0,r-e,100,99,0,MAVLink,_MAVLink_,16.8,11,96,rtsp://192.168.166.176:8900/live,,,,,,,,,,
UDP,10.60.11.11,39399,239.2.3.1,6969,MCAS-1-AI2C2,m-f,s,7-r-c,2022-05-04T00:38:48Z,2022-05-03T14:38:48Z,2022-05-03T14:38:48Z,a-f-G-E-V,bae,2.0,0.5,181.333191,32.8768718,0.5,-114.206172,MCAS-1-AI2C2,192.168.42.158:4242:tcp,true,0,0,10,60,0,0,0,0,0,60,100,mcas,180,0,0,r-e,100,99,0,MAVLink,_MAVLink_,16.8,11,96,rtsp://192.168.166.176:8900/live,,,,,,,,,,
UDP,10.60.11.11,41884,239.2.3.1,6969,MCAS-2-AI2C2,m-f,s,7-r-c,2022-05-04T00:38:48Z,2022-05-03T14:38:48Z,2022-05-03T14:38:48Z,a-f-G-E-V,grizB,2.0,0.5,181.345352,32.8783171,0.5,-114.206736,MCAS-2-AI2C2,192.168.42.158:4242:tcp,true,0,0,10,60,0,0,0,0,0,60,100,mcas,180,0,0,r-e,100,99,0,MAVLink,_MAVLink_,16.8,11,96,rtsp://192.168.166.176:8900/live,,,,,,,,,,
UDP,10.60.11.11,49850,239.2.3.1,6969,MCAS-1-AI2C,m-f,s,7-r-c,2022-05-04T00:38:48Z,2022-05-03T14:38:48Z,2022-05-03T14:38:48Z,a-f-G-E-V,m5,2.0,0.5,182.027176,32.8806515,0.5,-114.21049,MCAS-1-AI2C,192.168.42.158:4242:tcp,true,0,0,10,60,0,0,0,0,0,60,100,mcas,180,0,0,r-e,100,99,0,MAVLink,_MAVLink_,16.8,11,96,rtsp://192.168.166.176:8900/live,,,,,,,,,,
UDP,10.60.11.11,57346,239.2.3.1,6969,MCAS-2-AI2C,m-f,s,7-r-c,2022-05-04T00:38:48Z,2022-05-03T14:38:48Z,2022-05-03T14:38:48Z,a-f-G-E-V,grizA,2.0,0.5,183.567764,32.8799294,0.5,-114.203977,MCAS-2-AI2C,192.168.42.158:4242:tcp,true,0,0,10,60,0,0,0,0,0,60,100,mcas,180,0,0,r-e,100,99,0,MAVLink,_MAVLink_,16.8,11,96,rtsp://192.168.166.176:8900/live,,,,,,,,,,
UDP,10.60.11.11,39399,239.2.3.1,6969,MCAS-1-AI2C2,m-f,s,7-r-c,2022-05-04T00:38:48Z,2022-05-03T14:38:48Z,2022-05-03T14:38:48Z,a-f-G-E-V,bae,2.0,0.5,181.271744,32.8768871,0.5,-114.206173,MCAS-1-AI2C2,192.168.42.158:4242:tcp,true,0,0,10,60,0,0,0,0,0,60,100,mcas,180,0,0,r-e,100,99,0,MAVLink,_MAVLink_,16.8,11,96,rtsp://192.168.166.176:8900/live,,,,,,,,,,
UDP,10.60.11.11,49850,239.2.3.1,6969,MCAS-1-AI2C,m-f,s,7-r-c,2022-05-04T00:38:48Z,2022-05-03T14:38:48Z,2022-05-03T14:38:48Z,a-f-G-E-V,m5,2.0,0.5,182.039993,32.8806636,0.5,-114.210476,MCAS-1-AI2C,192.168.42.158:4242:tcp,true,0,0,10,60,0,0,0,0,0,60,100,mcas,180,0,0,r-e,100,99,0,MAVLink,_MAVLink_,16.8,11,96,rtsp://192.168.166.176:8900/live,,,,,,,,,,
UDP,10.60.11.11,41884,239.2.3.1,6969,MCAS-2-AI2C2,m-f,s,7-r-c,2022-05-04T00:38:48Z,2022-05-03T14:38:48Z,2022-05-03T14:38:48Z,a-f-G-E-V,grizB,2.0,0.5,181.381302,32.878331,0.5,-114.206723,MCAS-2-AI2C2,192.168.42.158:4242:tcp,true,0,0,10,60,0,0,0,0,0,60,100,mcas,180,0,0,r-e,100,99,0,MAVLink,_MAVLink_,16.8,11,96,rtsp://192.168.166.176:8900/live,,,,,,,,,,
UDP,10.60.11.11,57346,239.2.3.1,6969,MCAS-2-AI2C,m-f,s,7-r-c,2022-05-04T00:38:48Z,2022-05-03T14:38:48Z,2022-05-03T14:38:48Z,a-f-G-E-V,grizA,2.0,0.5,183.638,32.8799081,0.5,-114.203963,MCAS-2-AI2C,192.168.42.158:4242:tcp,true,0,0,10,60,0,0,0,0,0,60,100,mcas,180,0,0,r-e,100,99,0,MAVLink,_MAVLink_,16.8,11,96,rtsp://192.168.166.176:8900/live,,,,,,,,,,
UDP,10.60.11.11,39399,239.2.3.1,6969,MCAS-1-AI2C2,m-f,s,7-r-c,2022-05-04T00:38:48Z,2022-05-03T14:38:48Z,2022-05-03T14:38:48Z,a-f-G-E-V,bae,2.0,0.5,181.191254,32.8769029,0.5,-114.206172,MCAS-1-AI2C2,192.168.42.158:4242:tcp,true,0,0,10,60,0,0,0,0,0,60,100,mcas,180,0,0,r-e,100,99,0,MAVLink,_MAVLink_,16.8,11,96,rtsp://192.168.166.176:8900/live,,,,,,,,,,
